bus_date,venue_code,egm_description,manufacturer,fp,turnover_sum,gmp_sum,games_played_sum
2024-11-01,10177,M)Raging Bull - Lightning Cash - F59 S63160,ARISTOCRAT,1,3677.53,-701.23,2344
2024-11-01,10177,M)Bao Zhu Zhao Fu Blue Festival f64 s63912 a24620,ARISTOCRAT,2,3000,338.37,3955
2024-11-01,10177,M)Bao Zhu Zhao Fu Red Festival f64 s63908 a24615,ARISTOCRAT,3,3617.75,442.25,5123
2024-11-01,10177,M)Golden Gong Dragon Link  F62 S63596,ARISTOCRAT,4,1519.19,630.2,1476
2024-11-01,10177,M)Genghis Khan Dragon Link F59 S63102,ARISTOCRAT,5,1576.51,221.97,1360
2024-11-01,10177,M)Golden Century Dragon Link F59 S62487,ARISTOCRAT,6,4257.4,910.19,2689
2024-11-01,10177,M)Peace And Long Life Dragon Link F59 S63126,ARISTOCRAT,7,1613.73,407.81,1323
2024-11-01,10177,M)Panda Magic Dragon Link F59 S62561,ARISTOCRAT,8,14454.86,-1099.86,3231
2024-11-01,10177,M)Happy and Prosperous Dragon Link F59 S62477,ARISTOCRAT,9,3059.69,616.18,3400
2024-11-01,10177,M)Spring Festival - Dragon Link F59 S62973,ARISTOCRAT,10,6441.38,158.05,5524
2024-11-01,10177,M)Spring Festival - Lion Link F59 S12345,ARISTOCRAT,11,123,456,789
2024-11-02,10177,M)Raging Bull - Lightning Cash - F59 S63160,ARISTOCRAT,1,2373.96,-425.1,1658
2024-11-02,10177,M)Bao Zhu Zhao Fu Blue Festival f64 s63912 a24620,ARISTOCRAT,2,4281.75,75.5,2397
2024-11-02,10177,M)Bao Zhu Zhao Fu Red Festival f64 s63908 a24615,ARISTOCRAT,3,1066.75,219.02,1072
2024-11-02,10177,M)Golden Gong Dragon Link  F62 S63596,ARISTOCRAT,4,2153.5,660.53,2303
2024-11-02,10177,M)Genghis Khan Dragon Link F59 S63102,ARISTOCRAT,5,1465.79,522.18,850
2024-11-02,10177,M)Golden Century Dragon Link F59 S62487,ARISTOCRAT,6,2183.72,-447.07,2160
2024-11-02,10177,M)Peace And Long Life Dragon Link F59 S63126,ARISTOCRAT,7,1318.67,329.2,912
2024-11-02,10177,M)Panda Magic Dragon Link F59 S62561,ARISTOCRAT,8,5261.47,1173.96,1872
2024-11-02,10177,M)Happy and Prosperous Dragon Link F59 S62477,ARISTOCRAT,9,2517.99,193.42,2221
2024-11-02,10177,M)Spring Festival - Dragon Link F59 S62973,ARISTOCRAT,10,10694.7,815.42,6210
2024-11-03,10177,M)Raging Bull - Lightning Cash - F59 S63160,ARISTOCRAT,1,2784.99,600.3,1616
2024-11-03,10177,M)Bao Zhu Zhao Fu Blue Festival f64 s63912 a24620,ARISTOCRAT,2,6894.25,925.33,5010
2024-11-03,10177,M)Bao Zhu Zhao Fu Red Festival f64 s63908 a24615,ARISTOCRAT,3,2093,-68.73,2424
2024-11-03,10177,M)Golden Gong Dragon Link  F62 S63596,ARISTOCRAT,4,2110.16,-415.13,1332
2024-11-03,10177,M)Genghis Khan Dragon Link F59 S63102,ARISTOCRAT,5,3247.88,-5.79,1758
2024-11-03,10177,M)Golden Century Dragon Link F59 S62487,ARISTOCRAT,6,2152.5,369.44,1709
